ETF,Statistic,MLP,RNN,PSN
SPY,MAE,0.005904624788593947,0.005942038177181439,0.0033497862402489544
SPY,MAPE,216.02696535806075,269.6617985942243,96.94935489281663
SPY,RMSE,0.007952700156456454,0.007813950156947498,0.003917299676887272
SPY,THEIL-U,0.7103678181291873,0.6987202161715227,0.3464021942790293
DIA,MAE,0.006124523025785701,0.006835781907890588,0.0031680024904561154
DIA,MAPE,232.14460003500213,263.78017051110135,118.218254153352
DIA,RMSE,0.008138056194078064,0.0087044644153072,0.003910212403828251
DIA,THEIL-U,0.697778124493901,0.7759708080756627,0.3524659754311312
QQQ,MAE,0.008087758419552346,0.007902457425740453,0.0030725819228303287
QQQ,MAPE,252.46416531305292,269.2500010234028,234.707192272497
QQQ,RMSE,0.010387546905278407,0.010510720657280308,0.0038179846899365415
QQQ,THEIL-U,0.7452807954366039,0.7169904948119916,0.3733766997835071
